"","Year","State","Type","Measure","Material","Value","Chemical"
"1",2019,"CALIFORNIA"," ACRES HARVESTED"," "," ","35,400",""
"2",2019,"CALIFORNIA"," ACRES PLANTED"," "," ","36,000",""
"3",2019,"CALIFORNIA"," PRODUCTION"," $"," ","2,221,320,000",""
"4",2019,"CALIFORNIA"," PRODUCTION"," CWT"," ","20,500,000",""
"5",2019,"CALIFORNIA"," YIELD"," CWT / ACRE"," ","580",""
"6",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(AZOXYSTROBIN = 128810)","5,500","FUNGICIDE"
"7",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)","FUNGICIDE"
"8",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)","FUNGICIDE"
"9",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BACILLUS PUMILUS = 6485)","(NA)","FUNGICIDE"
"10",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BACILLUS SUBT. GB03 = 129068)","(NA)","FUNGICIDE"
"11",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BACILLUS SUBTILIS = 6479)","(NA)","FUNGICIDE"
"12",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BLAD = 30006)","1,200","FUNGICIDE"
"13",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BORAX DECAHYDRATE = 11102)","300","FUNGICIDE"
"14",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BOSCALID = 128008)","6,200","FUNGICIDE"
"15",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)","FUNGICIDE"
"16",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CAPTAN = 81301)","283,500","FUNGICIDE"
"17",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(COPPER HYDROXIDE = 23401)","(D)","FUNGICIDE"
"18",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(COPPER OCTANOATE = 23306)","(D)","FUNGICIDE"
"19",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CYFLUFENAMID = 555550)","400","FUNGICIDE"
"20",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CYPRODINIL = 288202)","16,600","FUNGICIDE"
"21",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(DIFENOCONAZOLE = 128847)","900","FUNGICIDE"
"22",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FENHEXAMID = 90209)","15,000","FUNGICIDE"
"23",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLUDIOXONIL = 71503)","11,100","FUNGICIDE"
"24",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLUOPYRAM = 80302)","3,900","FUNGICIDE"
